tipo,id,nome,arquivo_local,url_gerada
CAPA,666,Adoradores 2,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/capas/adoradores2.bmp,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/capas/adoradores2.bmp
CAPA,670,Adoradores 3,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/capas/adoradores3.bmp,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/capas/adoradores3.bmp
CAPA,703,Adoradores 4,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/capas/adoradores4.bmp,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/capas/adoradores4.bmp
CAPA,724,Adoradores 5,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/capas/adoradores5.bmp,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/capas/adoradores5.bmp
CAPA,727,Meu Lugar no Mundo,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/capas/2026.bmp,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/capas/2026.bmp
AUDIO_PB,49,Missão,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Missão - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Missão - PB.mp3
AUDIO,141,Nossa Missão,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Missão.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Missão.mp3
AUDIO_PB,141,Nossa Missão,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Missão - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Missão - PB.mp3
AUDIO,160,Tua Palavra,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Palavra.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Palavra.mp3
AUDIO_PB,160,Tua Palavra,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Palavra - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Palavra - PB.mp3
AUDIO,1319,Adorá-lo,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Adorá-lo.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Adorá-lo.mp3
AUDIO_PB,1319,Adorá-lo,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Adorá-lo - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Adorá-lo - PB.mp3
AUDIO,1320,Grande Deus,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Grande Deus.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Grande Deus.mp3
AUDIO_PB,1320,Grande Deus,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Grande Deus - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Grande Deus - PB.mp3
AUDIO,1321,Verei Jesus,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Verei Jesus.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Verei Jesus.mp3
AUDIO_PB,1321,Verei Jesus,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Verei Jesus - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Verei Jesus - PB.mp3
AUDIO,1322,O Alto Clamor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/O Alto Clamor.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/O Alto Clamor.mp3
AUDIO_PB,1322,O Alto Clamor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/O Alto Clamor - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/O Alto Clamor - PB.mp3
AUDIO,1323,Ele Vive em Mim,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Ele Vive em Mim.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Ele Vive em Mim.mp3
